ObjectID,Department,ObjectNumber,PrimaryDisplay,Image File Name,Rank,URL
33,American Decorative Arts,64.62,1,179600.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/179600.jpg
34,American Decorative Arts,1970.289.6,1,204788.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/204788.jpg
35,American Decorative Arts,04.1a–c,0,DT943.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DT943.jpg
35,American Decorative Arts,04.1a–c,0,DP162522.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162522.jpg
35,American Decorative Arts,04.1a–c,0,DP162516.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162516.jpg
35,American Decorative Arts,04.1a–c,1,DP162517.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162517.jpg
35,American Decorative Arts,04.1a–c,0,DP162518.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162518.jpg
35,American Decorative Arts,04.1a–c,0,DP162519.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162519.jpg
35,American Decorative Arts,04.1a–c,0,DP162520.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162520.jpg
35,American Decorative Arts,04.1a–c,0,DP162521.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162521.jpg
35,American Decorative Arts,04.1a–c,0,DP162523.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162523.jpg
35,American Decorative Arts,04.1a–c,0,DP162524.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162524.jpg
35,American Decorative Arts,04.1a–c,0,DP162525.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP162525.jpg
35,American Decorative Arts,04.1a–c,0,DP163182.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP163182.jpg
35,American Decorative Arts,04.1a–c,0,DP163183.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP163183.jpg
35,American Decorative Arts,04.1a–c,0,DP163184.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP163184.jpg
36,American Decorative Arts,1976.319,1,ADA4953.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/ADA4953.jpg
36,American Decorative Arts,1976.319,0,1976.319.JPG,0,https://images.metmuseum.org/CRDImages/ad/original/1976.319.JPG
37,American Decorative Arts,38.165.51,0,117430.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/117430.jpg
37,American Decorative Arts,38.165.51,0,DP247756.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP247756.jpg
37,American Decorative Arts,38.165.51,1,DP247752.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP247752.jpg
38,American Decorative Arts,38.165.50,1,DP247753.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP247753.jpg
38,American Decorative Arts,38.165.50,0,DP247755.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/DP247755.jpg
39,American Decorative Arts,18.11.10,1,37808.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/37808.jpg
40,American Decorative Arts,46.140.143,1,174118.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/174118.jpg
41,American Decorative Arts,46.140.864,1,187154.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/187154.jpg
42,American Decorative Arts,60.58.1,0,172133.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/172133.jpg
42,American Decorative Arts,60.58.1,1,172134.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/172134.jpg
43,American Decorative Arts,60.58.2,0,172133.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/172133.jpg
43,American Decorative Arts,60.58.2,1,172134.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/172134.jpg
44,American Decorative Arts,10.125.444a,1,17342.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/17342.jpg
45,American Decorative Arts,10.125.444b,1,17342.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/17342.jpg
46,American Decorative Arts,10.125.445a,1,12875.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/12875.jpg
47,American Decorative Arts,10.125.445b,1,12875.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/12875.jpg
50,American Decorative Arts,10.125.447a,1,130480.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/130480.jpg
50,American Decorative Arts,10.125.447a,0,12874.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/12874.jpg
51,American Decorative Arts,10.125.447b,1,130480.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/130480.jpg
51,American Decorative Arts,10.125.447b,0,12874.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/12874.jpg
52,American Decorative Arts,10.125.452a,1,12875.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/12875.jpg
53,American Decorative Arts,10.125.452b,1,12875.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/12875.jpg
56,American Decorative Arts,10.125.454a,1,12875.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/12875.jpg
57,American Decorative Arts,10.125.454b,1,12875.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/12875.jpg
62,American Decorative Arts,22.120.1,1,50662.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/50662.jpg
63,American Decorative Arts,22.120.2,1,50662.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/50662.jpg
64,American Decorative Arts,23.80.14,1,52601.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/52601.jpg
65,American Decorative Arts,23.80.15,1,52601.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/52601.jpg
68,American Decorative Arts,30.120.83,1,81112.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/81112.jpg
68,American Decorative Arts,30.120.83,0,81112-4.jpg,1,https://images.metmuseum.org/CRDImages/ad/original/81112-4.jpg
69,American Decorative Arts,30.120.84,1,81112.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/81112.jpg
70,American Decorative Arts,34.90.1,1,98546.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/98546.jpg
71,American Decorative Arts,34.90.2,1,98546.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/98546.jpg
74,American Decorative Arts,37.15.1,1,110314.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/110314.jpg
75,American Decorative Arts,37.15.2,1,110314.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/110314.jpg
78,American Decorative Arts,37.174.1,1,113560.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/113560.jpg
79,American Decorative Arts,37.174.2,1,113560.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/113560.jpg
80,American Decorative Arts,39.184.46,1,120114.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/120114.jpg
81,American Decorative Arts,39.184.47,1,120114.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/120114.jpg
86,American Decorative Arts,41.160.344,1,127219.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/127219.jpg
87,American Decorative Arts,41.160.345,1,127219.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/127219.jpg
88,American Decorative Arts,41.160.346,1,126248.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/126248.jpg
89,American Decorative Arts,41.160.347,1,126248.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/126248.jpg
90,American Decorative Arts,41.160.372,1,127239.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/127239.jpg
91,American Decorative Arts,41.160.373,1,127239.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/127239.jpg
92,American Decorative Arts,46.67.126,1,138510.jpg,88,https://images.metmuseum.org/CRDImages/ad/original/138510.jpg
